,Year of Study,Danceability,Energy,Valence
82,1921,0.33955909090909087,0.18095454545454548,0.24691818181818181
83,1922,0.645,0.445,0.127
84,1923,0.6156379310344827,0.2000603448275862,0.5740344827586208
85,1924,0.6377999999999999,0.35490000000000005,0.7519555555555556
86,1925,0.6087619047619048,0.30053452380952383,0.6677619047619048
87,1926,0.6572831325301205,0.2585957831325301,0.6947981927710842
88,1927,0.5668552631578948,0.33348815789473685,0.619903947368421
0,1928,0.5149085365853658,0.21898615853658537,0.4533390243902439
89,1929,0.5928125,0.2953645833333333,0.5772708333333334
1,1930,0.5382694610778442,0.26372269461077846,0.5424074850299402
90,1931,0.5154074074074073,0.2829425925925926,0.5941666666666665
91,1932,0.5367179487179486,0.22376752136752134,0.5520008547008548
92,1933,0.6272549019607843,0.23582274509803922,0.6018901960784314
93,1934,0.4750247933884298,0.2745272727272728,0.45918842975206614
2,1935,0.5868025751072962,0.2780965665236052,0.5801051502145922
3,1936,0.6540689768976898,0.32229240924092406,0.6255382838283828
94,1937,0.6459724137931034,0.2904358620689655,0.6474344827586207
95,1938,0.5632142857142857,0.36154365079365075,0.5447233333333333
96,1939,0.497834632034632,0.2950380952380953,0.5368567099567099
4,1940,0.5115633228840126,0.3062902507836991,0.5860316614420062
97,1941,0.5186333333333334,0.2926566666666667,0.4818658333333333
5,1942,0.47374842767295594,0.27867874213836474,0.52412893081761
98,1943,0.4292939024390243,0.2975390243902438,0.38147073170731705
99,1944,0.5451760563380282,0.2719535211267606,0.4651077464788732
6,1945,0.46734783950617287,0.23580274691358027,0.5006447530864196
7,1946,0.37375741758241765,0.18881296703296702,0.32106153846153845
8,1947,0.4704100917431192,0.256545871559633,0.49750642201834866
9,1948,0.4608511904761905,0.27471587301587297,0.42897857142857143
10,1949,0.42898431001890364,0.22181024574669184,0.3848858223062382
11,1950,0.5304084745762712,0.31606783898305085,0.5554800847457627
12,1951,0.5075823008849557,0.28119780530973454,0.5157637168141593
13,1952,0.4911958579881657,0.2757590729783037,0.5116915187376726
14,1953,0.4692993723849373,0.2941831380753138,0.4673020920502092
15,1954,0.46904079528718706,0.2633849042709867,0.46044344624447714
16,1955,0.4907425614489004,0.26653624838292367,0.45500181112548516
17,1956,0.49327209302325586,0.30137839945280437,0.5129023255813954
18,1957,0.5102625766871165,0.3021779754601227,0.5423325153374233
19,1958,0.49983523035230343,0.32679359078590786,0.5223432249322493
20,1959,0.5032681697612732,0.328722400530504,0.5005945623342175
21,1960,0.48716882276843465,0.3549478654592496,0.5334235446313066
22,1961,0.502374899328859,0.3539829906040269,0.5328495302013423
23,1962,0.5119434725848564,0.3886502872062664,0.5697370757180156
24,1963,0.5029,0.3784901356852103,0.5617492537313433
25,1964,0.5170095046854083,0.40723623828647926,0.5620930388219545
26,1965,0.5115567423230974,0.461301829105474,0.5931580774365821
27,1966,0.5081783355350066,0.5022466314398943,0.5996233817701453
28,1967,0.4959117340286831,0.4705680573663625,0.562370925684485
29,1968,0.5063217391304348,0.4768106708074534,0.579228447204969
30,1969,0.4960231617647059,0.4891461642156863,0.5580295343137255
31,1970,0.5138132147395171,0.4964297331639136,0.5774313850063532
32,1971,0.5072930402930403,0.49536814407814406,0.5669689865689865
33,1972,0.5376315789473685,0.5040218713450293,0.6059439766081872
34,1973,0.5240805288461539,0.5404128605769232,0.5941271634615385
35,1974,0.5302529860228716,0.5134654764930116,0.590751334180432
36,1975,0.5281368105515587,0.5260708153477218,0.571153237410072
37,1976,0.5466481176470588,0.5569892941176471,0.5910494117647058
38,1977,0.5492406962785115,0.5681894357743097,0.5949044417767108
39,1978,0.5588595848595849,0.5625695604395604,0.6039482295482296
40,1979,0.5841723889555822,0.594402881152461,0.6285948379351741
41,1980,0.5675545346062052,0.6017391288782816,0.6100861575178997
42,1981,0.5490966305655837,0.5876270637785801,0.6041708784596872
43,1982,0.5810791469194313,0.5857372393364928,0.5960812796208531
44,1983,0.5661758229284903,0.6213208853575483,0.587794892167991
45,1984,0.5724327114427861,0.611779303482587,0.5992284825870646
46,1985,0.5765823244552059,0.6106148910411622,0.5804608958837773
47,1986,0.5603370828182942,0.6236282200247218,0.5791027194066749
48,1987,0.5624111904761905,0.603975,0.559974880952381
49,1988,0.5659087899543379,0.5912100913242009,0.5723706735159817
50,1989,0.558581214848144,0.5909366366704162,0.5556770528683914
51,1990,0.5509992125984252,0.5982186951631046,0.5332424071991001
52,1991,0.5688124390243903,0.5800573170731708,0.5447303658536585
53,1992,0.5662384083044982,0.6141922837370242,0.557765628604383
54,1993,0.5865789044289045,0.5857335780885781,0.5605271561771562
55,1994,0.5596924970691676,0.5881106365767877,0.5308744431418523
56,1995,0.5729769590643276,0.5943438596491228,0.5287990643274854
57,1996,0.5984062140391254,0.614237008055236,0.571403912543153
58,1997,0.5869673341677096,0.609768448060075,0.5551339173967459
59,1998,0.5937947928994084,0.6303587337278107,0.5482820118343196
60,1999,0.5988959584295612,0.6514426639722865,0.5680501154734411
61,2000,0.5986046341463415,0.6313963902439025,0.5584620731707317
62,2001,0.5820737083811711,0.6394883926521241,0.5457601607347876
63,2002,0.599819087635054,0.6501251260504202,0.5566759903961584
64,2003,0.591197668997669,0.679550442890443,0.5496935897435897
65,2004,0.5815226725082147,0.6725607447973713,0.5410638554216868
66,2005,0.589072663551402,0.673917406542056,0.5428338785046729
67,2006,0.5867585812356979,0.6746971281464531,0.5328229977116705
68,2007,0.570090868596882,0.6710821937639198,0.517909688195991
69,2008,0.5947020023557127,0.6726420612485278,0.540472320376914
70,2009,0.5827770809578108,0.6804613340935005,0.5238667046750285
71,2010,0.5967329281767957,0.692024817679558,0.541780044198895
72,2011,0.5665040236686392,0.6639703573964496,0.481159798816568
73,2012,0.586928053204353,0.6797891898428055,0.4970104353083434
74,2013,0.5865366515837104,0.6533848849547511,0.47753506787330313
75,2014,0.6039722518676628,0.6498328077908219,0.46773511205976515
76,2015,0.6031990857142856,0.6248181955428571,0.44190975999999993
77,2016,0.6018963176064442,0.5880358472957422,0.4306767779056387
78,2017,0.6132501625135428,0.5949078043336945,0.4203856338028169
79,2018,0.6757391552511416,0.6028491894977168,0.45430859589041095
80,2019,0.676378275862069,0.6146149505747127,0.5052649655172414
81,2020,0.6799961538461539,0.6104962461538461,0.48216479999999995
